Title;Author;Avg Rating;Ratings
Winter's Tale;Mark Helprin;3.50;27,087
The Warrior Heir (The Heir Chronicles, #1);Cinda Williams Chima;3.94;49,663
Labyrinth (Languedoc, #1);Kate Mosse;3.61;54,250
Sobre héroes y tumbas;Ernesto Sabato;4.27;10,049
The Three-Body Problem (Remembrance of Earth’s Past #1);Liu Cixin;4.06;195,189
Notice Me;Emem Uko;4.25;589
An Instance of the Fingerpost;Iain Pears;3.93;25,420
In the Hand of the Goddess (Song of the Lioness, #2);Tamora Pierce;4.18;99,713
Calvin and Hobbes (Calvin and Hobbes #1);Bill Watterson;4.59;144,319
La catedral del mar (La catedral del mar, #1);Ildefonso Falcones;4.13;44,544
My Sister, the Serial Killer;Oyinkan Braithwaite;3.72;208,583
The Alice Network;Kate Quinn;4.28;326,010
Unmanned (Y: The Last Man #1);Brian K. Vaughan;4.08;109,272
Wings of Fire: An Autobiography;A.P.J. Abdul Kalam;4.22;46,633
பொன்னியின் செல்வன்;Kalki;4.70;8,147
Shades of Earth (Across the Universe, #3);Beth Revis;4.07;33,998
Blood of the Fold (Sword of Truth, #3);Terry Goodkind;3.99;76,211
Song of Susannah (The Dark Tower, #6);Stephen King;3.97;146,834
Twice Bitten (Chicagoland Vampires, #3);Chloe Neill;4.18;50,833
Red Sparrow (Red Sparrow Trilogy, #1);Jason  Matthews;3.95;51,482
The Unwanteds (Unwanteds, #1);Lisa McMann;4.12;33,172
Paradise (Second Opportunities, #1);Judith McNaught;4.30;32,670
Airhead (Airhead, #1);Meg Cabot;3.77;37,508
The Dovekeepers;Alice Hoffman;4.05;71,504
Dr. Faustus;Christopher Marlowe;3.80;61,302
Last Chance to See;Douglas Adams;4.26;24,201
The Necromancer  (The Secrets of the Immortal Nicholas Flamel, #4);Michael Scott;4.13;61,492
The Secret of the Nagas (Shiva Trilogy #2);Amish Tripathi;4.08;82,238
Career of Evil (Cormoran Strike, #3);Robert Galbraith;4.19;185,534
Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened;Allie Brosh;4.12;198,781
The First Man in Rome (Masters of Rome, #1);Colleen McCullough;4.09;22,089
Unwifeable: A Memoir;Mandy Stadtmiller;3.50;3,990
Prozac Nation;Elizabeth Wurtzel;3.61;58,801
Growth of the Soil;Knut Hamsun;4.13;9,262
The Woman Who Rides Like a Man (Song of the Lioness, #3);Tamora Pierce;4.13;82,442
Confess;Colleen Hoover;4.21;152,406
Adjustment Day;Chuck Palahniuk;3.15;8,329
The Starless Sea;Erin Morgenstern;3.84;136,133
Resurrection;Leo Tolstoy;4.15;19,666
We'll Always Have Summer (Summer, #3);Jenny Han;4.07;109,034
The Lying Game (The Lying Game, #1);Sara Shepard;3.92;39,725
Undeniable (Undeniable, #1);Madeline Sheehan;4.04;49,181
Fool;Christopher Moore;3.96;53,779
The Club Dumas;Arturo Pérez-Reverte;3.82;38,958
A Painted House;John Grisham;3.71;89,963
Who's Afraid of Virginia Woolf?;Edward Albee;4.06;64,588
The Dark Tower Series: Books 1-7 (The Dark Tower #1-7);Stephen King;4.61;10,579
The Lover (The Lover, #1);Marguerite Duras;3.74;41,327
Batman: Year One;Frank Miller;4.22;218,981
Styxx (Dark-Hunter, #22);Sherrilyn Kenyon;4.58;20,923
Daemon (Daemon, #1);Daniel Suarez;4.16;46,801
The Confusion (The Baroque Cycle, #2);Neal Stephenson;4.26;22,875
Once Burned (Night Prince, #1);Jeaniene Frost;4.19;66,252
The Screaming Staircase (Lockwood & Co., #1);Jonathan Stroud;4.19;38,550
Devil May Cry (Dark-Hunter, #11);Sherrilyn Kenyon;4.27;39,514
The Mermaid Chair;Sue Monk Kidd;3.19;82,650
The Essential Rumi;Rumi;4.36;45,303
The Magician (The Secrets of the Immortal Nicholas Flamel, #2);Michael Scott;4.10;89,997
War Storm (Red Queen, #4);Victoria Aveyard;3.87;103,066
For a Few Demons More (The Hollows, #5);Kim Harrison;4.30;57,788
Invisible;Paul Auster;3.69;19,973
In Her Shoes;Jennifer Weiner;3.80;204,001
My Blood Approves (My Blood Approves, #1);Amanda Hocking;3.82;29,181
Finding Audrey;Sophie Kinsella;3.76;76,935
"Making Money (Discworld, #36; Moist Von Lipwig, #2)";Terry Pratchett;4.19;68,418
The Jungle Book;Rudyard Kipling;3.91;111,112
الطنطورية;رضوى عاشور;4.34;23,441
The Robber Bride;Margaret Atwood;3.81;45,868
We Hunt the Flame (Sands of Arawiya, #1);Hafsah Faizal;3.95;38,489
Mrs. Mike (Mrs. Mike, #1);Benedict Freedman;4.17;18,442
The Mad Ship (Liveship Traders, #2);Robin Hobb;4.20;58,482
The Blinding Knife (Lightbringer, #2);Brent Weeks;4.38;82,282
Genghis: Birth of an Empire (Conqueror, #1);Conn Iggulden;4.34;30,686
History Is All You Left Me;Adam Silvera;4.02;47,952
UnEnchanted (An Unfortunate Fairy Tale, #1);Chanda Hahn;3.89;41,016
Sleeping Beauties;Stephen King;3.73;74,396
Warcross (Warcross, #1);Marie Lu;4.14;99,139
Midnight Obsession (Midnight, #4);Melinda Leigh;4.24;19,338
A Taste of Peace;J.J. Sorel;4.32;536
The Crow Road;Iain Banks;4.06;20,961
Sherlock Holmes: The Complete Novels and Stories, Volume I;Arthur Conan Doyle;4.47;25,367
Here Be Dragons (Welsh Princes, #1);Sharon Kay Penman;4.26;23,535
The System of the World (The Baroque Cycle, #3);Neal Stephenson;4.33;21,090
The Program (The Program, #1);Suzanne Young;4.06;48,436
Triptych (Will Trent, #1);Karin Slaughter;4.10;74,293
Keeping the Moon;Sarah Dessen;3.84;67,765
1st to Die (Women's Murder Club, #1);James Patterson;4.08;316,341
What Happened to Goodbye;Sarah Dessen;3.94;87,736
The Three Stigmata of Palmer Eldritch;Philip K. Dick;4.01;35,354
Sweet Dreams (Colorado Mountain, #2);Kristen Ashley;4.38;46,623
The Comfort of Strangers;Ian McEwan;3.40;16,044
That Was Then, This Is Now;S.E. Hinton;3.92;31,032
Erak's Ransom (Ranger's Apprentice, #7);John Flanagan;4.33;54,067
The Hammer of Thor (Magnus Chase and the Gods of Asgard, #2);Rick Riordan;4.34;82,426
A Merciful Secret (Mercy Kilpatrick, #3);Kendra Elliot;4.29;27,947
The Hangman's Daughter (The Hangman's Daughter, #1);Oliver Pötzsch;3.74;80,885
Gardens of the Moon (Malazan Book of the Fallen, #1);Steven Erikson;3.89;102,824
The Crimson Crown (Seven Realms, #4);Cinda Williams Chima;4.47;40,064
The Distant Hours;Kate Morton;3.88;74,189
Knife of Dreams (The Wheel of Time, #11);Robert Jordan;4.14;111,985
City of Golden Shadow (Otherland, #1);Tad Williams;3.92;27,562
Fantastic Mr. Fox;Roald Dahl;4.06;115,525
The Motorcycle Diaries: Notes on a Latin American Journey;Ernesto Che Guevara;3.75;38,246
Children of Dune (Dune Chronicles #3);Frank Herbert;3.95;125,670
'Tis;Frank McCourt;3.69;61,673
"Maskerade (Discworld, #18; Witches #5)";Terry Pratchett;4.05;60,850
The Death of Bunny Munro;Nick Cave;3.42;15,491
Use of Weapons (Culture, #3);Iain M. Banks;4.17;43,665
"The Killer Collective (John Rain, #10; Ben Treven #4; Livia Lone #3)";Barry Eisler;3.91;30,009
The Hostile Hospital (A Series of Unfortunate Events, #8);Lemony Snicket;3.98;105,111
Poison Princess (The Arcana Chronicles, #1);Kresley Cole;4.10;42,116
The Twilight Saga Complete Collection  (Twilight, #1-4, 3.5);Stephenie Meyer;4.33;73,008
The Watsons Go to Birmingham - 1963;Christopher Paul Curtis;3.97;64,274
The Fire Next Time;James Baldwin;4.50;78,749
Crime;Irvine Welsh;3.46;5,480
Fire and Ice (Warriors, #2);Erin Hunter;4.37;49,539
"Jingo (Discworld, #21; City Watch, #4)";Terry Pratchett;4.15;58,874
Brief Lives (The Sandman, #7);Neil Gaiman;4.55;51,392
Where'd You Go, Bernadette;Maria Semple;3.88;520,489
The Power of Habit: Why We Do What We Do in Life and Business;Charles Duhigg;4.11;408,209
In the Time of the Butterflies;Julia Alvarez;4.14;61,298
The Orange Girl;Jostein Gaarder;3.91;26,733
We Were the Mulvaneys;Joyce Carol Oates;3.74;96,273
Saving CeeCee Honeycutt;Beth Hoffman;3.92;82,858
Me and Earl and the Dying Girl;Jesse Andrews;3.55;132,766
Save Yourself;Kelly Braffet;3.38;4,785
Mystical Trash;Mary Ramsey;4.43;654
Imperial Bedrooms;Bret Easton Ellis;3.16;20,966
All Over But the Shoutin';Rick Bragg;4.11;26,282
Dress Your Family in Corduroy and Denim;David Sedaris;4.07;268,515
The Demigod Diaries;Rick Riordan;4.17;49,234
Vain (The Seven Deadly, #1);Fisher Amelie;4.23;30,242
Losing It (Losing It, #1);Cora Carmack;3.74;102,855
Destined (House of Night, #9);P.C. Cast;4.02;78,748
Lectures on Faith;Joseph Smith Jr.;4.49;5,492
The Poetry of Pablo Neruda;Pablo Neruda;4.44;18,167
Touch of Frost (Mythos Academy, #1);Jennifer Estep;3.95;30,595
The Twilight Saga (Twilight, #1-4);Stephenie Meyer;3.90;111,175
Why They Stay: Sex Scandals, Deals, and Hidden Agendas of Eight Political Wives;Anne Michaud;4.40;101
The Leopard;Giuseppe Tomasi di Lampedusa;4.01;28,014
"Forever Too Far (Rosemary Beach, #3; Too Far, #3)";Abbi Glines;4.21;83,150
حول العالم في 200 يوم;أنيس منصور;4.08;10,929
Ordeal;Tatyana K. Varenko;3.91;118
The Long Winter (Little House, #6);Laura Ingalls Wilder;4.13;83,280
The Carnivorous Carnival (A Series of Unfortunate Events, #9);Lemony Snicket;3.99;116,589
Dealing with Dragons (Enchanted Forest Chronicles, #1);Patricia C. Wrede;4.11;92,678
The Memoirs of Sherlock Holmes (Sherlock Holmes, #4);Arthur Conan Doyle;4.30;88,481
Not Okay;Brett Axel;4.77;56
Queen of the Darkness (The Black Jewels, #3);Anne Bishop;4.37;26,375
ESV Study Bible;Anonymous;4.68;14,448
The Bone Clocks;David Mitchell;3.83;91,321
The Nanny Song;Misty Mount;4.24;871
The White Dragon (Pern, #3);Anne McCaffrey;4.18;45,650
History of the Peloponnesian War;Thucydides;3.86;32,661
I Dream of Yellow Kites;Retta Bono;4.11;79
Son;Lois Lowry;3.97;91,785
Phantom;Susan  Kay;4.33;11,669
Ninth House (Alex Stern, #1);Leigh Bardugo;4.04;149,107
Trust: A New Beginning (Trust Trilogy, #1);Cristiane Serruya;3.49;5,484
Succubus on Top (Georgina Kincaid, #2);Richelle Mead;4.03;33,136
The Ballad of Songbirds and Snakes (The Hunger Games, #0);Suzanne Collins;3.81;259,587
Baltasar and Blimunda;José Saramago;3.94;18,020
The Tombs of Atuan (Earthsea Cycle, #2);Ursula K. Le Guin;4.08;101,741
Reunion (The Mediator, #3);Jenny Carroll;4.06;39,529
Piercing the Darkness (Darkness, #2);Frank E. Peretti;4.31;57,981
Hunting Ground (Alpha & Omega, #2);Patricia Briggs;4.25;65,933
The Kings of Clonmel (Ranger's Apprentice, #8);John Flanagan;4.30;50,397
The Lunatic Cafe (Anita Blake, Vampire Hunter #4);Laurell K. Hamilton;4.11;76,747
Finding Sky (Benedicts, #1);Joss Stirling;4.07;18,991
Batman: The Long Halloween;Jeph Loeb;4.32;84,580
Two Boys Kissing;David Levithan;4.09;43,715
The Recruit (Cherub, #1);Robert Muchamore;4.24;31,062
Lord Loss (The Demonata, #1);Darren Shan;4.23;21,078
Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1);Louise Rennison;3.75;136,136
The Silkworm (Cormoran Strike, #2);Robert Galbraith;4.04;239,060
I, Claudius/Claudius the God;Robert Graves;4.43;2,891
Oscar et la dame rose;Éric-Emmanuel Schmitt;4.25;34,287
The Yellow Wall-Paper;Charlotte Perkins Gilman;4.10;117,437
Homo Faber;Max Frisch;3.74;20,138
The Samurai's Garden;Gail Tsukiyama;4.14;23,095
The Memoirs of Cleopatra;Margaret George;4.15;20,684
Proven Guilty (The Dresden Files, #8);Jim Butcher;4.37;113,359
The Butterfly Garden  (The Collector, #1);Dot Hutchison;4.03;147,073
Just Mercy: A Story of Justice and Redemption;Bryan Stevenson;4.57;187,251
Beyond the Kingdoms (The Land of Stories, #4);Chris Colfer;4.48;34,379
Titus Andronicus;William Shakespeare;3.69;27,721
Life and Fate;Vasily Grossman;4.39;10,089
Naruto, Vol. 01: Uzumaki Naruto (Naruto, #1);Masashi Kishimoto;4.41;165,299
The Secret of the Old Clock (Nancy Drew Mystery Stories, #1);Carolyn Keene;3.98;71,577
Selected Poems;Robert Frost;4.17;5,189
The Well House II: The Revenge;M.S. Matassa;4.37;1,392
Forest of Secrets (Warriors, #3);Erin Hunter;4.42;45,601
Worm (Parahumans, #1);Wildbow;4.62;7,061
Stepbrother Dearest;Penelope Ward;4.07;62,295
Desperation;Stephen King;3.84;126,943
The Devil's Deceptions: Is There Life After Death?;Ginger Baum;4.96;390
Forever;Pete Hamill;3.95;11,891
Little Brother (Little Brother, #1);Cory Doctorow;3.93;50,294
Ethereal Fury (Gemini Rising, #1);Jessica O'Gorek;3.96;215
Struck By Lightning: The Carson Phillips Journal;Chris Colfer;3.82;12,880
Loving Frank;Nancy Horan;3.75;97,888
Rodrick Rules (Diary of a Wimpy Kid, #2);Jeff Kinney;4.14;154,986
All the Ugly and Wonderful Things;Bryn Greenwood;4.02;118,767
The Lacuna;Barbara Kingsolver;3.76;69,816
"A Hat Full of Sky (Discworld, #32; Tiffany Aching, #2)";Terry Pratchett;4.25;71,757
Nick & Norah's Infinite Playlist;Rachel Cohn;3.70;85,998
The Waste Land and Other Poems;T.S. Eliot;4.21;57,490
White Witch, Black Curse (The Hollows, #7);Kim Harrison;4.31;50,442
The Cost of Discipleship;Dietrich Bonhoeffer;4.25;40,125
Tutunamayanlar;Oğuz Atay;4.56;10,104
Winter's Heart (The Wheel of Time, #9);Robert Jordan;3.94;115,226
My Favorite Mistake (My Favorite Mistake, #1);Chelsea M. Cameron;3.98;55,697
Monument 14 (Monument 14, #1);Emmy Laybourne;3.90;22,562
China Rich Girlfriend (Crazy Rich Asians, #2);Kevin Kwan;3.82;179,782
Finnegans Wake;James Joyce;3.67;11,963
Ada, or Ardor: A Family Chronicle;Vladimir Nabokov;4.14;10,153
Off the Grid: The Catalyst;Brian  Courtney;4.18;386
Eight Cousins (Eight Cousins, #1);Louisa May Alcott;4.01;35,797
Lost in the Crowd;M.J. Santley;4.38;938
Punk 57;Penelope Douglas;4.03;128,639
A Thousand Pieces of You (Firebird, #1);Claudia Gray;3.89;57,028
A Fire Upon the Deep (Zones of Thought, #1);Vernor Vinge;4.13;56,084
Jemima J;Jane Green;3.66;114,680
Of Poseidon (The Syrena Legacy, #1);Anna Banks;3.99;50,095
Every Last Word;Tamara Ireland Stone;4.26;48,310
Red Russia;Tanya Thompson;4.16;19,221
Stories of Your Life and Others;Ted Chiang;4.22;81,045
Bloody Jack (Bloody Jack, #1);L.A. Meyer;4.09;26,236
The Hard Way (Jack Reacher, #10);Lee Child;4.16;72,886
Through the Looking-Glass and What Alice Found There (Alice's Adventures in Wonderland, #2);Lewis Carroll;4.04;125,479
The Night Angel Trilogy (Night Angel, #1-3);Brent Weeks;4.43;24,976
The Running Man;Richard Bachman;3.89;113,096
Godsgrave (The Nevernight Chronicle, #2);Jay Kristoff;4.49;39,782
Grave Peril (The Dresden Files, #3);Jim Butcher;4.13;153,441
The Dead-Tossed Waves (The Forest of Hands and Teeth, #2);Carrie Ryan;3.91;30,348
It's Not Summer Without You (Summer, #2);Jenny Han;4.05;129,562
The Marriage Bargain (Marriage to a Billionaire, #1);Jennifer Probst;3.80;108,358
The Dinner;Herman Koch;3.25;144,083
The Great and Secret Show (Book of the Art #1);Clive Barker;4.06;29,132
The Eternity Cure (Blood of Eden, #2);Julie Kagawa;4.19;38,847
Playing with Fire (Skulduggery Pleasant, #2);Derek Landy;4.30;26,941
Deadly Little Secret (Touch, #1);Laurie Faria Stolarz;3.86;22,292
PACKFIRE: Simon Pack # 9;John M Vermillion;4.31;1,126
Goodbye to All That;Robert Graves;3.83;16,758
Kitchen Confidential: Adventures in the Culinary Underbelly;Anthony Bourdain;4.08;258,424
C is for Corpse  (Kinsey Millhone, #3);Sue Grafton;3.90;49,933
The Book of Laughter and Forgetting;Milan Kundera;3.98;43,112
The Thief of Always;Clive Barker;4.20;29,355
الإسلام بين الشرق والغرب;Alija Izetbegović;4.46;10,135
I Never Promised You a Rose Garden;Hannah  Green;3.87;29,260
The Opal Deception (Artemis Fowl, #4);Eoin Colfer;4.02;140,647
Still Life With Crows (Pendergast, #4);Douglas Preston;4.18;36,365
Three Weeks With My Brother;Nicholas Sparks;4.01;43,904
Silk;Alessandro Baricco;3.85;43,875
Holding Up the Universe;Jennifer Niven;3.82;85,898
Dr. Seuss's ABC: An Amazing Alphabet Book!;Dr. Seuss;4.08;45,660
The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making (Fairyland, #1);Catherynne M. Valente;3.91;43,780
Lost Souls;Poppy Z. Brite;3.90;16,857
Pyramids (Discworld, #7);Terry Pratchett;3.89;80,135
Undone (Will Trent, #3);Karin Slaughter;4.18;51,994
The Overstory;Richard Powers;4.11;108,044
The Feminine Mystique;Betty Friedan;3.85;26,338
The Apprentice (Rizzoli & Isles, #2);Tess Gerritsen;4.12;59,282
The Time Paradox (Artemis Fowl #6);Eoin Colfer;4.08;85,379
Maniac Magee;Jerry Spinelli;3.88;120,939
The Fairy-Tale Detectives (The Sisters Grimm #1);Michael Buckley;4.02;52,589
Fragile Things: Short Fictions and Wonders;Neil Gaiman;3.91;74,367
One Shot (Jack Reacher, #9);Lee Child;4.21;103,978
The Siege of Macindaw (Ranger's Apprentice, #6);John Flanagan;4.34;59,147
At the Mountains of Madness;H.P. Lovecraft;3.85;40,265
Mistborn Trilogy Boxed Set (Mistborn, #1-3);Brandon Sanderson;4.57;45,551
Invitation to a Beheading;Vladimir Nabokov;3.90;14,681
Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think;Hans Rosling;4.33;145,716
Haunted (The Mediator, #5);Jenny Carroll;4.12;39,211
Motherless Brooklyn;Jonathan Lethem;3.88;39,842
My Family and Other Animals (Corfu Trilogy, #1);Gerald Durrell;4.13;49,931
The Eighth Sister (Charles Jenkins, #1);Robert Dugoni;4.05;35,029
Mystery Man (Dream Man, #1);Kristen Ashley;4.21;69,363
The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures;Anne Fadiman;4.16;76,477
The Plot Against America;Philip Roth;3.76;60,169
Love & Misadventure;Lang Leav;3.96;49,431
The Mysterious Stranger;Mark Twain;4.13;8,895
The Outlaw Demon Wails (The Hollows, #6);Kim Harrison;4.35;56,973
La ciudad y los perros;Mario Vargas Llosa;4.14;19,154
Hunting and Gathering;Anna Gavalda;4.11;18,393
This Savage Song (Monsters of Verity, #1);Victoria Schwab;4.02;90,486
Glue;Irvine Welsh;3.82;14,192
Samarkand;Amin Maalouf;4.24;24,081
Morning Star (Red Rising Saga, #3);Pierce Brown;4.47;141,858
The Yearling;Marjorie Kinnan Rawlings;4.01;26,766
Vampire Kisses: The Beginning (Vampire Kisses, #1-3);Ellen Schreiber;4.13;27,883
The Initiation / The Captive Part I (The Secret Circle, #1-2);L.J. Smith;3.96;23,001
The Darkest Kiss (Lords of the Underworld, #2);Gena Showalter;4.22;54,923
Witch & Wizard (Witch & Wizard, #1);James Patterson;3.55;54,427
Six Days of the Condor;James Grady;4.09;18,897
Dare You To (Pushing the Limits, #2);Katie McGarry;4.15;41,233
Leaving Time;Jodi Picoult;3.96;154,188
Dragonsong (Harper Hall, #1);Anne McCaffrey;4.18;57,541
Thin Air (Jessica Shaw #1);Lisa    Gray;3.87;53,588
Ever Yours: The Essential Letters;Vincent van Gogh;4.36;265
Holy Bible: The New King James Version;Anonymous;4.37;7,153
Remy (Real, #3);Katy Evans;4.29;30,017
Carve the Mark (Carve the Mark, #1);Veronica Roth;3.78;77,805
The Elfstones of Shannara  (The Original Shannara Trilogy, #2);Terry Brooks;3.95;71,790
Legendary (Caraval, #2);Stephanie Garber;4.23;84,241
The Prisoner of Cell 25 (Michael Vey, #1);Richard Paul Evans;4.22;38,428
Plainsong (Plainsong, #1);Kent Haruf;4.01;69,470
A Song of Ice and Fire (A Song of Ice and Fire, #1-4);George R.R. Martin;4.63;45,744
Serpent & Dove (Serpent & Dove, #1);Shelby Mahurin;4.03;147,680
Matterhorn;Karl Marlantes;4.17;42,923
Awake at Dawn (Shadow Falls, #2);C.C. Hunter;4.24;60,231
Handle with Care;Jodi Picoult;3.98;118,188
Awoken;Timothy   Miller;4.20;76
Meeting With Christ and Other Poems;Deepak Chaswal;4.48;86
Letters From Your Soul;Victor Noble;4.30;63
On the Fence (Old Town Shops #2);Kasie West;4.04;54,371
The Fall of the Phoenix (Heroes of Troy, #1);Daniel  Kelly;4.37;1,113
The Little Friend;Donna Tartt;3.47;58,279
"Unleash the Night (Dark Hunter, #8; Were-Hunter, #2)";Sherrilyn Kenyon;4.30;43,158
The Rising (Blue River Chronicles, #1);C.M. Meridian;3.61;61
Where I'm Calling From: New and Selected Stories;Raymond Carver;4.42;20,502
The Grownup;Gillian Flynn;3.57;112,649
Life: A User's Manual;Georges Perec;4.20;7,768
"Yours Truly, Taddy (The Undergrad Years, #2; Invitation to Eden, #1)";Avery Aster;3.66;732
The Rings of Saturn;W.G. Sebald;4.25;11,846
The Confessions of Nat Turner;William Styron;3.96;14,280
The Arrival;Shaun Tan;4.34;50,435
Deep World Fire  (Deep World Saga #1);C.M. Meridian;4.13;55
Consequences (Consequences, #1);Aleatha Romig;3.93;40,549
The Blind Owl;Sadegh Hedayat;3.99;21,803
Ancillary Justice (Imperial Radch, #1);Ann Leckie;3.97;93,464
The Blindspots Between Us: How to Overcome Unconscious Cognitive Bias and Build Better Relationships;Gleb Tsipursky;4.02;171
Still Crazy;Judy Prescott Marshall;4.30;1,972
The Siren (The Original Sinners, #1);Tiffany Reisz;4.03;26,046
Child of God;Cormac McCarthy;3.81;42,649
The Gamble (Colorado Mountain, #1);Kristen Ashley;4.26;56,622
The Magic Faraway Tree (The Faraway Tree, #2);Enid Blyton;4.26;35,789
The Tides of Reckoning (The Outlands Saga #2);Tyler Edwards;4.59;61
The End of Faith: Religion, Terror, and the Future of Reason;Sam Harris;3.84;44,370
Hometown Girl After All (Hometown #2);Kirsten Fullmer;4.31;1,000
Plum Island (John Corey, #1);Nelson DeMille;4.04;48,574
Rot & Ruin (Rot & Ruin, #1);Jonathan Maberry;4.10;33,496
Thr3e;Ted Dekker;4.06;33,147
The Circle;Dave Eggers;3.44;194,983
The Woman in Cabin 10;Ruth Ware;3.72;451,388
Darkest Hour (The Mediator, #4);Jenny Carroll;4.14;37,738
The Rescue (Ryan Decker #1);Steven Konkoly;3.97;29,492
In the Clearing (Tracy Crosswhite, #3);Robert Dugoni;4.24;51,929
Kitchen;Banana Yoshimoto;3.87;59,057
Elixir (Covenant, #3.5);Jennifer L. Armentrout;4.37;30,292
The Taking of Peggy Martin;Karen Glista;4.30;806
Sold;Patricia McCormick;4.22;52,940
Breathing Lessons;Anne Tyler;3.67;25,861
The Steward (Weald Fae Journals, #1);Christopher  Shields;3.92;560
"Twisted Perfection (Rosemary Beach, #5; Perfection, #1)";Abbi Glines;4.24;65,418
Winter Garden;Kristin Hannah;4.20;167,414
Resilience: Adapt and Plan for the New Abnormal of the Covid-19 Coronavirus Pandemic;Gleb Tsipursky;4.51;75
Heart of a Warrior Angel;Lali A. Love ™️;4.41;791
The Golden Bowl;Henry James;3.79;10,922
Lady Knight (Protector of the Small, #4);Tamora Pierce;4.26;54,491
Caressed by Ice (Psy-Changeling #3);Nalini Singh;4.26;38,366
The Fall of Five (Lorien Legacies, #4);Pittacus Lore;4.23;61,267
What the Wind Knows;Amy Harmon;4.30;75,428
Summer of the Monkeys;Wilson Rawls;4.05;13,153
Freak the Mighty (Freak The Mighty, #1);Rodman Philbrick;4.02;47,186
Child of the Prophecy (Sevenwaters, #3);Juliet Marillier;4.12;20,897
Ninth Key (The Mediator, #2);Jenny Carroll;4.04;40,299
A Soldier of the Great War;Mark Helprin;4.34;6,841
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History;Chris Kyle;3.99;122,116
SSN Seadragon: The Crucible of Leviathan;J.P. Ronald;4.21;371
Petals on the Wind (Dollanganger, #2);V.C. Andrews;3.82;57,302
Prep;Curtis Sittenfeld;3.40;63,481
A Long Way Down;Nick Hornby;3.44;86,151
Tricks (Tricks, #1);Ellen Hopkins;4.29;35,061
Throne of Novoxos (Van Laven Chronicles #1);Tyler Chase;3.50;5,273
The Dark and Hollow Places (The Forest of Hands and Teeth, #3);Carrie Ryan;4.03;22,178
Inherit the Wind;Jerome Lawrence;3.91;23,121
Night Star (The Immortals, #5);Alyson Noel;3.81;50,675
Visions (The Secret Watchers, #1);Lauren Klever;4.40;139
Falling into You (Falling, #1);Jasinda Wilder;4.03;52,790
The Jane Austen Book Club;Karen Joy Fowler;3.12;70,216
Under the Tuscan Sun;Frances Mayes;3.76;321,886
Edenbrooke (Edenbrooke, #1);Julianne Donaldson;4.32;44,989
Rilla of Ingleside (Anne of Green Gables, #8);L.M. Montgomery;4.21;42,653
Hometown Girl Forever (Hometown #3);Kirsten Fullmer;4.31;1,013
Echo (Species Intervention #6609, #2);J.K. Accinni;4.13;386
Dragonsinger (Harper Hall, #2);Anne McCaffrey;4.28;44,467
Fragile Lives: A Heart Surgeon’s Stories of Life and Death on the Operating Table;Stephen Westaby;4.35;3,801
The Dragon Heir (The Heir Chronicles, #3);Cinda Williams Chima;4.14;35,364
Dark Guardian (Dark Guardian, #1);Ammar Habib;4.21;5,286
Fairy, Fairy, Quite Contrary;Ellie Aiden;3.76;795
Cruel Beauty;Rosamund Hodge;3.68;90,413
Conversations with God: An Uncommon Dialogue, Book 1;Neale Donald Walsch;4.16;33,949
Because of Mr. Terupt (Mr. Terupt, #1);Rob Buyea;4.35;37,649
Those Who Save Us;Jenna Blum;4.09;101,467
Backstage Pass (Sinners on Tour, #1);Olivia Cunning;4.01;59,596
The Crown (The Selection, #5);Kiera Cass;3.69;188,276
Barely Breathing (Breathing, #2);Rebecca    Donovan;4.31;67,963
A Reaper at the Gates (An Ember in the Ashes, #3);Sabaa Tahir;4.21;60,969
La resistencia (Memorias de Idhún, #1);Laura Gallego García;4.13;17,117
Fueled (Driven, #2);K. Bromberg;4.48;49,312
The Duke and I (Bridgertons, #1);Julia Quinn;3.85;238,674
Death du Jour (Temperance Brennan, #2);Kathy Reichs;3.94;48,451
Betrayal In Black (Zachary Blake Legal Thriller #4);Mark M. Bello;4.39;943
The Jewel in the Crown;Paul Scott;4.14;5,457
Portrait in Sepia;Isabel Allende;3.98;33,725
The A.B.C. Murders (Hercule Poirot, #13);Agatha Christie;4.02;122,865
Generation X: Tales for an Accelerated Culture;Douglas Coupland;3.73;27,538
On Liberty;John Stuart Mill;3.97;32,222
The Fill-In Boyfriend;Kasie West;3.91;58,033
Abandon (Abandon, #1);Meg Cabot;3.69;40,294
Rising Storm (Warriors, #4);Erin Hunter;4.40;42,061
The Queen of Attolia (The Queen's Thief, #2);Megan Whalen Turner;4.13;44,751
The Emperor of Nihon-Ja (Ranger's Apprentice, #10);John Flanagan;4.42;46,168
Finders Keepers (Bill Hodges Trilogy, #2);Stephen King;4.04;125,507
The Sailor Who Fell from Grace with the Sea;Yukio Mishima;3.89;26,152
In Defense of Food: An Eater's Manifesto;Michael Pollan;4.05;112,916
Hey Nostradamus!;Douglas Coupland;3.71;18,756
The Charterhouse of Parma;Stendhal;3.81;15,702
East (East, #1);Edith Pattou;4.14;41,104
